ISSID,Province,Municipality_metro,Metro,Rural,TownCity_Name,Suburbareaplacename,Police_Station,Coordinates,Latitude,Longitude,First_Street,Cross_Street,Start_Date,End_Date,Ongoing,type,type_id,Violent_or_violent,violent,Rangecode,Reasonforprotest
105,9,Western Cape - City of Cape Town,1,0,Cape Town,Khayelitsha; Town Two phase four informal settlement,WC - Khayelitsha,"-34.034239,18.677953",-34.034238,18.677952,Lansdowne Road,Lansdowne Road,02/01/2013,02/12/2013,1,Service delivery,9,Violent,1,5,"Protests during which people from other areas were bussed in and started burning the plastic chemical toilets for Town Two residents, since the residents have had no toilets following protests six months ago. This led to altercations between Town Two resident protestors and protestors from other areas, with Town Two residents trying to prevent their toilets being burned on Lansdowne Road."
4,1,Eastern Cape - Senqu,0,1,Sterkspruit,Sterkspruit,EC - Sterkspruit,"-30.524935,27.364588",-30.524934,27.364588,Zastron road,Zastron road,01/01/2013,01/24/2013,1,Service delivery,9,Violent,1,1,The residents wanted Sterkspruit to be moved from the Senqu municipality and be a municipality on its own. 
67,6,KwaZulu Natal - eThekwini,1,0,Durban,"Dundee, Forbes & Manhattan Coal processing plant and Magdalena mine",KZN - Dundee,"-28.170436,30.230345",-28.170435,30.230345,Not applicable,Not applicable,01/17/2013,01/26/2013,1,Labour related,4,Violent,1,3,"Decreased amount: the miners had initially been demanding a minimum R3 000 increase for the lowest paid workers, but had through negotiations modified their demands to an increase of between R1 500 and R2 000 a month. The owners of the mine, Forbes Coal, had been offering an 8.5% increase."
730,3,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria West - Lotus Gardens,GP - Pretoria West,"-25.751159,28.083004",-25.751159,28.083003,Abeltree St,Brizia Cres,01/03/2013,01/03/2013,0,Vigilantism,7,Violent,1,5,"Residents stoned the house, smashed windows and broke down the front door to get inside RDP house of Mitah and Esther Mnisi, accusing them of evil deeds, Angry residents also claimed the two women were involved in other cases where people died soon after arguing with them."
62,3,Gauteng - City of Johannesburg,1,0,Johannesburg,"Johannesburg, Nelson Mandela bridge",GP - Johannesburg Central,"-26.128008,28.03176",-26.128008,28.031759,Jan Smuts,Bompas,01/04/2013,01/04/2013,0,Crime related,1,Peaceful,0,3,"The news of the death of South African mountain bike ace Burry Stander, caused a stir across the country , leading to plans of a mass protests in his honour. Several protest masses have since been organised in honour of Stander and all cyclists killed on South Africans roads."
65,3,Gauteng - City of Johannesburg,1,0,Johannesburg,Chris Hani Baragwanath Nursing College,GP - Rosebank,"-26.145601,28.039955",-26.1456,28.039954,Do not know,Do not know,01/07/2013,01/16/2013,0,Education related,2,Peaceful,0,5,"The closure of the college follows a week-long illegal protest and class disruptions by students, who demanded that three heads of department (HODs) should be removed from the college."
88,9,Western Cape - Breede Valley,0,1,Cape Town,De Doorns,WC - De Doorns,"-33.485433,19.669347",-33.485433,19.669346,N1 Highway,N1 Highway,01/09/2013,02/12/2013,1,Labour related,4,Violent,1,1,Farm workers engaged on violent wage dispute: farm workers demanding an increase of minimum wage from R69 a day to R150 a day; Improvements in living standard.
55,3,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria CBD,GP - Pretoria Central,"-25.744434,28.192059",-25.744433,28.192059,Madiba Street,Madiba Street,01/11/2013,01/11/2013,0,Labour related,4,Peaceful,0,5,The Tshwane Municipality on Friday stopped an impromptu and illegal march by a few hundred former employees who were demanding their jobs back. 
107,9,Western Cape - City of Cape Town,1,0,Cape Town,Joe Slovo Park,WC - Milnerton,"-33.873587,18.508805",-33.873587,18.508804,Democracy Road,Democracy Road,01/14/2013,01/14/2013,-1,Service delivery,9,Violent,1,5,"The residents also launched violent protests, stoning ALIU officials and burning tyres on Democracy Road — the main road in the township which leads to Montague Gardens. Several businesses run by foreign nationals were also set alight by residents who claimed they were being targeted while foreign national’s running businesses illegally from shipping containers were being allowed to continue."
93,9,Western Cape - Cape Winelands,0,0,Cape Town,Crossroads / New crossroads and Wesbank,WC - Gugulethu,"-33.997778,18.597536",-33.997777,18.597536,Ntsikizi street,Lansdowne road,01/16/2013,01/16/2013,1,Education related,2,Peaceful,0,5,Dr Nelson Mandela High in Crossroad has had experienced disruptions to due protests and counter protests almost every day since school’s reopened on January 16 this year. The school has been disrupted by protests over the return of principal Linda Mnothoza who was last year suspended following allegations of misuse of school funds. 20 teachers opposed to Mnothoza have refused to teach. Parents and learners have also got involved in protests against he principal. Other schools that have been disrupted by protests against their principals are Qigqa Mntwana primary school in Crossroads and Nomlinganiselo Primary School in New Crossroads. Then on Monday this week Rainbow Primary school in Wesbank saw black and coloured parents facing off and hurling racial epithets at each other after the school’s Xhosa teacher refuses to teach a multi grade class of Grade 2 and Grade 3 pupils.
